x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
21.140624,0.14,-2.588630982,21.140624,0.14,-2.583311961,7216.463276,0.06,-52.76301627,21.140624,0.14,-2.582574832,21.140624,0.14,-2.968539091
21.140624,0.15,-2.593571757,21.140624,0.15,-2.586713873,739.656528,0.06,-52.74452321,21.140624,0.15,-2.581629389,21.140624,0.15,-2.970475127
21.140624,0.16,-2.60261695,21.140624,0.16,-2.591393216,3747.405027,0.06,-52.73330266,21.140624,0.16,-2.58864908,21.140624,0.16,-2.976894895
21.140624,0.17,-2.606041664,21.140624,0.17,-2.59754714,4560.67423,0.06,-52.72730149,21.140624,0.17,-2.595927528,21.140624,0.17,-2.979480241
21.140624,0.18,-2.605457087,21.140624,0.18,-2.603737871,650.9323038,0.06,-52.72024724,21.140624,0.18,-2.601476846,21.140624,0.18,-2.97877612
21.140624,0.19,-2.611660322,21.140624,0.19,-2.60958333,2081.889145,0.06,-52.6604289,21.140624,0.19,-2.602790096,21.140624,0.19,-2.976547862
21.140624,0.1,-2.582954641,21.140624,0.1,-2.569301799,4869.440078,0.06,-52.63837944,21.140624,0.1,-2.575274213,21.140624,0.1,-2.960547105
21.140624,0.21,-2.621823,21.140624,0.21,-2.616982104,2222.097607,0.06,-52.63259152,21.140624,0.21,-2.611249759,21.140624,0.21,-2.980566989
21.140624,0.22,-2.624418889,21.140624,0.22,-2.620402423,1320.967788,0.05,-52.61899947,21.140624,0.22,-2.607116201,21.140624,0.22,-2.982782996
21.140624,0.23,-2.628524602,21.140624,0.23,-2.624914143,1827.685219,0.06,-52.61340738,21.140624,0.23,-2.613752147,21.140624,0.23,-2.9815293
21.140624,0.24,-2.630667555,21.140624,0.24,-2.628923498,2702.565427,0.06,-52.60205283,21.140624,0.24,-2.619337327,21.140624,0.24,-2.982543357
21.140624,0.25,-2.632758458,21.140624,0.25,-2.632855169,45.11836587,0.05,-52.60178186,21.140624,0.25,-2.625769243,21.140624,0.25,-2.984964761
21.140624,0.26,-2.638100719,21.140624,0.26,-2.636760597,1503.915082,0.06,-52.58241706,21.140624,0.26,-2.629672268,21.140624,0.26,-2.987470911
21.140624,0.27,-2.643020592,21.140624,0.27,-2.638885516,840.8575076,0.05,-52.52939415,21.140624,0.27,-2.630926883,21.140624,0.27,-2.987530241
21.140624,0.28,-2.643182583,21.140624,0.28,-2.642727591,48.65061095,0.06,-52.46708302,21.140624,0.28,-2.636903687,21.140624,0.28,-2.98725826
21.140624,0.29,-2.648034093,21.140624,0.29,-2.64772025,956.2897738,0.05,-52.43709614,21.140624,0.29,-2.639533885,21.140624,0.29,-2.989270483
